time,Committed_AS
2025-12-03 15:02:46,5610.73
2025-12-03 15:02:44,5610.73
2025-12-03 15:02:42,5610.73
2025-12-03 15:02:40,5610.73
2025-12-03 15:02:38,5610.73
2025-12-03 15:02:36,5610.73
2025-12-03 15:02:34,5610.73
2025-12-03 15:02:32,5610.73
2025-12-03 15:02:30,5610.73
2025-12-03 15:02:28,5610.73
2025-12-03 15:02:26,5610.73
2025-12-03 15:02:24,5610.73
2025-12-03 15:02:22,5610.73
2025-12-03 15:02:20,5610.73
2025-12-03 15:02:18,5610.73
2025-12-03 15:02:16,5610.73
2025-12-03 15:02:14,5610.73
2025-12-03 15:02:12,5610.73
2025-12-03 15:02:10,5610.73
2025-12-03 15:02:08,5610.73
2025-12-03 15:02:06,5610.73
2025-12-03 15:02:04,5610.73
2025-12-03 15:02:02,5610.73
2025-12-03 15:02:00,5610.73
2025-12-03 15:01:58,5610.73
2025-12-03 15:01:56,5610.73
2025-12-03 15:01:54,5610.73
2025-12-03 15:01:52,5610.73
2025-12-03 15:01:50,5610.73
2025-12-03 15:01:48,5610.73
2025-12-03 15:01:46,5610.73
2025-12-03 15:01:44,5610.73
2025-12-03 15:01:42,5610.73
2025-12-03 15:01:40,5610.73
2025-12-03 15:01:38,5610.73
2025-12-03 15:01:36,5610.73
2025-12-03 15:01:34,5610.73
2025-12-03 15:01:32,5610.73
2025-12-03 15:01:30,5610.73
2025-12-03 15:01:28,5610.73
2025-12-03 15:01:26,5610.73
2025-12-03 15:01:24,5610.73
2025-12-03 15:01:22,5610.73
2025-12-03 15:01:20,5610.73
2025-12-03 15:01:18,5610.73
2025-12-03 15:01:16,5610.73
2025-12-03 15:01:14,5610.73
2025-12-03 15:01:12,5610.73
2025-12-03 15:01:10,5610.73
2025-12-03 15:01:08,5610.73
2025-12-03 15:01:06,5610.73
2025-12-03 15:01:04,5610.73
2025-12-03 15:01:02,5610.73
2025-12-03 15:01:00,5610.73
2025-12-03 15:00:58,5610.73
2025-12-03 15:00:56,5610.73
2025-12-03 15:00:54,5610.73
2025-12-03 15:00:52,5610.73
2025-12-03 15:00:50,5610.73
2025-12-03 15:00:48,5610.73
2025-12-03 15:00:46,5610.73
2025-12-03 15:00:44,5610.73
2025-12-03 15:00:42,5610.73
2025-12-03 15:00:40,5610.73
2025-12-03 15:00:38,5610.73
2025-12-03 15:00:36,5610.73
2025-12-03 15:00:34,5610.73
2025-12-03 15:00:32,5610.73
2025-12-03 15:00:30,5610.73
2025-12-03 15:00:28,5610.73
2025-12-03 15:00:26,5610.73
2025-12-03 15:00:24,5610.73
2025-12-03 15:00:22,5610.73
2025-12-03 15:00:20,5610.73
2025-12-03 15:00:18,5610.73
2025-12-03 15:00:16,5610.73
2025-12-03 15:00:14,5610.73
2025-12-03 15:00:12,5610.73
2025-12-03 15:00:10,5610.73
2025-12-03 15:00:08,5610.73
2025-12-03 15:00:06,5610.73
2025-12-03 15:00:04,5610.73
2025-12-03 15:00:02,5610.73
2025-12-03 15:00:00,5610.73
2025-12-03 14:59:58,5610.73
2025-12-03 14:59:56,5610.73
2025-12-03 14:59:54,5610.73
2025-12-03 14:59:52,5610.73
2025-12-03 14:59:50,5610.73
2025-12-03 14:59:48,5610.73
2025-12-03 14:59:46,5610.73
2025-12-03 14:59:44,5610.73
2025-12-03 14:59:42,5610.73
2025-12-03 14:59:40,5610.73
2025-12-03 14:59:38,5610.73
2025-12-03 14:59:36,5610.73
2025-12-03 14:59:34,5610.73
2025-12-03 14:59:32,5610.73
2025-12-03 14:59:30,5610.73
2025-12-03 14:59:28,5610.73
2025-12-03 14:59:26,5610.73
2025-12-03 14:59:24,5610.73
2025-12-03 14:59:22,5610.73
2025-12-03 14:59:20,5610.73
2025-12-03 14:59:18,5610.73
2025-12-03 14:59:16,5610.73
2025-12-03 14:59:14,5610.73
2025-12-03 14:59:12,5610.73
2025-12-03 14:59:10,5610.73
2025-12-03 14:59:08,5610.73
2025-12-03 14:59:06,5610.73
2025-12-03 14:59:04,5610.73
2025-12-03 14:59:02,5610.73
2025-12-03 14:59:00,5610.73
2025-12-03 14:58:58,5610.73
2025-12-03 14:58:56,5610.73
2025-12-03 14:58:54,5610.73
2025-12-03 14:58:52,5610.73
2025-12-03 14:58:50,5610.73
2025-12-03 14:58:48,5610.73
2025-12-03 14:58:46,5610.73
2025-12-03 14:58:44,5610.73
2025-12-03 14:58:42,5610.73
2025-12-03 14:58:40,5610.73
2025-12-03 14:58:38,5610.73
2025-12-03 14:58:36,5610.73
2025-12-03 14:58:34,5610.73
2025-12-03 14:58:32,5610.73
2025-12-03 14:58:30,5610.73
2025-12-03 14:58:28,5610.73
2025-12-03 14:58:26,5610.73
2025-12-03 14:58:24,5610.73
2025-12-03 14:58:22,5610.73
2025-12-03 14:58:20,5610.73
2025-12-03 14:58:18,5610.73
2025-12-03 14:58:16,5610.73
2025-12-03 14:58:14,5610.73
2025-12-03 14:58:12,5610.73
2025-12-03 14:58:10,5610.73
2025-12-03 14:58:08,5628.5605
2025-12-03 14:58:06,5646.391
2025-12-03 14:58:04,5678.844
2025-12-03 14:58:02,5678.844
2025-12-03 14:58:00,5678.844
2025-12-03 14:57:58,5678.844
2025-12-03 14:57:56,5678.844
2025-12-03 14:57:54,5678.844
2025-12-03 14:57:52,5678.844
2025-12-03 14:57:50,5678.844
2025-12-03 14:57:48,5678.844
2025-12-03 14:57:46,5678.844
2025-12-03 14:57:44,5678.844
2025-12-03 14:57:42,5678.844
2025-12-03 14:57:40,5678.844
2025-12-03 14:57:38,5678.844
2025-12-03 14:57:36,5678.844
2025-12-03 14:57:34,5678.844
2025-12-03 14:57:32,5678.844
2025-12-03 14:57:30,5678.844
2025-12-03 14:57:28,5678.844
2025-12-03 14:57:26,5678.844
2025-12-03 14:57:24,5678.844
2025-12-03 14:57:22,5678.844
