time,avail
2025-12-03 15:02:46,254186.55
2025-12-03 15:02:44,254186.8
2025-12-03 15:02:42,254186.8
2025-12-03 15:02:40,254186.8
2025-12-03 15:02:38,254186.3
2025-12-03 15:02:36,254186.8
2025-12-03 15:02:34,254186.8
2025-12-03 15:02:32,254186.8
2025-12-03 15:02:30,254186.8
2025-12-03 15:02:28,254186.3
2025-12-03 15:02:26,254186.8
2025-12-03 15:02:24,254186.8
2025-12-03 15:02:22,254186.8
2025-12-03 15:02:20,254186.8
2025-12-03 15:02:18,254186.3
2025-12-03 15:02:16,254186.8
2025-12-03 15:02:14,254186.8
2025-12-03 15:02:12,254186.85
2025-12-03 15:02:10,254186.9
2025-12-03 15:02:08,254186.4
2025-12-03 15:02:06,254186.4
2025-12-03 15:02:04,254186.65
2025-12-03 15:02:02,254187
2025-12-03 15:02:00,254187.35
2025-12-03 15:01:58,254186.6
2025-12-03 15:01:56,254187.1
2025-12-03 15:01:54,254187.1
2025-12-03 15:01:52,254187.1
2025-12-03 15:01:50,254187.1
2025-12-03 15:01:48,254186.6
2025-12-03 15:01:46,254187.1
2025-12-03 15:01:44,254187.1
2025-12-03 15:01:42,254187.35
2025-12-03 15:01:40,254187.1
2025-12-03 15:01:38,254186.85
2025-12-03 15:01:36,254187.1
2025-12-03 15:01:34,254187.1
2025-12-03 15:01:32,254187.35
2025-12-03 15:01:30,254187.6
2025-12-03 15:01:28,254186.85
2025-12-03 15:01:26,254187.1
2025-12-03 15:01:24,254187.1
2025-12-03 15:01:22,254187.35
2025-12-03 15:01:20,254187.1
2025-12-03 15:01:18,254186.6
2025-12-03 15:01:16,254187.1
2025-12-03 15:01:14,254187.1
2025-12-03 15:01:12,254187.1
2025-12-03 15:01:10,254187.6
2025-12-03 15:01:08,254186.85
2025-12-03 15:01:06,254187.3
2025-12-03 15:01:04,254187.3
2025-12-03 15:01:02,254187.45
2025-12-03 15:01:00,254187.55
2025-12-03 15:00:58,254187.5
2025-12-03 15:00:56,254187.3
2025-12-03 15:00:54,254187.3
2025-12-03 15:00:52,254187.45
2025-12-03 15:00:50,254187.55
2025-12-03 15:00:48,254187.6
2025-12-03 15:00:46,254187.6
2025-12-03 15:00:44,254187.6
2025-12-03 15:00:42,254187.85
2025-12-03 15:00:40,254187.6
2025-12-03 15:00:38,254187.6
2025-12-03 15:00:36,254187.85
2025-12-03 15:00:34,254187.85
2025-12-03 15:00:32,254187.85
2025-12-03 15:00:30,254187.6
2025-12-03 15:00:28,254187.6
2025-12-03 15:00:26,254187.6
2025-12-03 15:00:24,254187.6
2025-12-03 15:00:22,254187.85
2025-12-03 15:00:20,254187.6
2025-12-03 15:00:18,254187.6
2025-12-03 15:00:16,254187.6
2025-12-03 15:00:14,254187.6
2025-12-03 15:00:12,254187.6
2025-12-03 15:00:10,254188.05
2025-12-03 15:00:08,254187.8
2025-12-03 15:00:06,254187.8
2025-12-03 15:00:04,254187.8
2025-12-03 15:00:02,254187.85
2025-12-03 15:00:00,254188.15
2025-12-03 14:59:58,254187.9
2025-12-03 14:59:56,254187.4
2025-12-03 14:59:54,254187.9
2025-12-03 14:59:52,254187.9
2025-12-03 14:59:50,254187.9
2025-12-03 14:59:48,254187.9
2025-12-03 14:59:46,254187.9
2025-12-03 14:59:44,254187.9
2025-12-03 14:59:42,254187.9
2025-12-03 14:59:40,254187.9
2025-12-03 14:59:38,254187.65
2025-12-03 14:59:36,254187.4
2025-12-03 14:59:34,254187.9
2025-12-03 14:59:32,254187.9
2025-12-03 14:59:30,254187.9
2025-12-03 14:59:28,254187.4
2025-12-03 14:59:26,254187.65
2025-12-03 14:59:24,254187.65
2025-12-03 14:59:22,254187.9
2025-12-03 14:59:20,254187.9
2025-12-03 14:59:18,254187.4
2025-12-03 14:59:16,254187.4
2025-12-03 14:59:14,254187.65
2025-12-03 14:59:12,254187.9
2025-12-03 14:59:10,254187.9
2025-12-03 14:59:08,254187.4
2025-12-03 14:59:06,254187.4
2025-12-03 14:59:04,254187.75
2025-12-03 14:59:02,254188.1
2025-12-03 14:59:00,254188.1
2025-12-03 14:58:58,254187.95
2025-12-03 14:58:56,254187.7
2025-12-03 14:58:54,254187.95
2025-12-03 14:58:52,254188.2
2025-12-03 14:58:50,254187.95
2025-12-03 14:58:48,254187.95
2025-12-03 14:58:46,254187.7
2025-12-03 14:58:44,254187.7
2025-12-03 14:58:42,254187.95
2025-12-03 14:58:40,254188.2
2025-12-03 14:58:38,254187.7
2025-12-03 14:58:36,254187.7
2025-12-03 14:58:34,254187.6
2025-12-03 14:58:32,254187.6
2025-12-03 14:58:30,254187.85
2025-12-03 14:58:28,254187.85
2025-12-03 14:58:26,254187.6
2025-12-03 14:58:24,254187.6
2025-12-03 14:58:22,254187.6
2025-12-03 14:58:20,254187.6
2025-12-03 14:58:18,254187.6
2025-12-03 14:58:16,254187.5
2025-12-03 14:58:14,254187.9
2025-12-03 14:58:12,254187.9
2025-12-03 14:58:10,254187.9
2025-12-03 14:58:08,254186.35
2025-12-03 14:58:06,254184.75
2025-12-03 14:58:04,254180.15
2025-12-03 14:58:02,254180.3
2025-12-03 14:58:00,254180.3
2025-12-03 14:57:58,254180.6
2025-12-03 14:57:56,254180.35
2025-12-03 14:57:54,254180.15
2025-12-03 14:57:52,254180.3
2025-12-03 14:57:50,254180.3
2025-12-03 14:57:48,254180.45
2025-12-03 14:57:46,254180.3
2025-12-03 14:57:44,254180.1
2025-12-03 14:57:42,254180.3
2025-12-03 14:57:40,254180.3
2025-12-03 14:57:38,254180.45
2025-12-03 14:57:36,254180.35
2025-12-03 14:57:34,254180.1
2025-12-03 14:57:32,254180.25
2025-12-03 14:57:30,254180.3
2025-12-03 14:57:28,254180.45
2025-12-03 14:57:26,254180.55
2025-12-03 14:57:24,254180.1
2025-12-03 14:57:22,254180.3
2025-12-03 14:57:20,254180.3
2025-12-03 14:57:18,254180.45
2025-12-03 14:57:16,254180.55
2025-12-03 14:57:14,254180.1
2025-12-03 14:57:12,254180.2
2025-12-03 14:57:10,254180.3
2025-12-03 14:57:08,254180.3
2025-12-03 14:57:06,254180.6
2025-12-03 14:57:04,254180.1
2025-12-03 14:57:02,254180.2
2025-12-03 14:57:00,254180.3
2025-12-03 14:56:58,254180.3
2025-12-03 14:56:56,254180.6
2025-12-03 14:56:54,254180.35
2025-12-03 14:56:52,254180.2
2025-12-03 14:56:50,254180.3
2025-12-03 14:56:48,254180.3
2025-12-03 14:56:46,254180.35
2025-12-03 14:56:44,254180.4
2025-12-03 14:56:42,254180.3
2025-12-03 14:56:40,254180.6
2025-12-03 14:56:38,254180.1
2025-12-03 14:56:36,254180.2
2025-12-03 14:56:34,254180.3
2025-12-03 14:56:32,254180.25
2025-12-03 14:56:30,254180.6
2025-12-03 14:56:28,254180.45
2025-12-03 14:56:26,254180.15
2025-12-03 14:56:24,254180
2025-12-03 14:56:22,254180
2025-12-03 14:56:20,254180.55
2025-12-03 14:56:18,254180.3
2025-12-03 14:56:16,254180.2
2025-12-03 14:56:14,254180.3
2025-12-03 14:56:12,254180.3
2025-12-03 14:56:10,254180.6
2025-12-03 14:56:08,254180.1
2025-12-03 14:56:06,254180.2
2025-12-03 14:56:04,254180.3
2025-12-03 14:56:02,254180.25
2025-12-03 14:56:00,254180.3
2025-12-03 14:55:58,254179.7
2025-12-03 14:55:56,254179.7
2025-12-03 14:55:54,254179.95
2025-12-03 14:55:52,254179.95
2025-12-03 14:55:50,254180.2
2025-12-03 14:55:48,254179.7
2025-12-03 14:55:46,254179.7
2025-12-03 14:55:44,254179.7
