time,switches
2025-12-03 15:02:46,1596.43715
2025-12-03 15:02:44,1527.7373
2025-12-03 15:02:42,1379.8427
2025-12-03 15:02:40,1679.51905
2025-12-03 15:02:38,1373.80825
2025-12-03 15:02:36,1496.5848
2025-12-03 15:02:34,1571.5683
2025-12-03 15:02:32,1460.1137
2025-12-03 15:02:30,1624.90705
2025-12-03 15:02:28,1466.8843
2025-12-03 15:02:26,1439.93035
2025-12-03 15:02:24,1660.05635
2025-12-03 15:02:22,1379.04
2025-12-03 15:02:20,1694.2461
2025-12-03 15:02:18,1402.41535
2025-12-03 15:02:16,1512.8484
2025-12-03 15:02:14,1611.0068
2025-12-03 15:02:12,1466.4822
2025-12-03 15:02:10,1639.3161
2025-12-03 15:02:08,1468.69535
2025-12-03 15:02:06,1453.1825
2025-12-03 15:02:04,1710.2724
2025-12-03 15:02:02,1452.3416
2025-12-03 15:02:00,1497.46615
2025-12-03 15:01:58,1558.3719
2025-12-03 15:01:56,1456.95615
2025-12-03 15:01:54,1638.16085
2025-12-03 15:01:52,1449.6952
2025-12-03 15:01:50,1446.0288
2025-12-03 15:01:48,1632.0061
2025-12-03 15:01:46,1387.74395
2025-12-03 15:01:44,1709.8588
2025-12-03 15:01:42,1383.99295
2025-12-03 15:01:40,1517.1192
2025-12-03 15:01:38,1568.73125
2025-12-03 15:01:36,1460.24105
2025-12-03 15:01:34,1655.18575
2025-12-03 15:01:32,1464.77675
2025-12-03 15:01:30,1423.15815
2025-12-03 15:01:28,1630.01625
2025-12-03 15:01:26,1419.1945
2025-12-03 15:01:24,1704.5673
2025-12-03 15:01:22,1392.59625
2025-12-03 15:01:20,1450.12835
2025-12-03 15:01:18,1568.58185
2025-12-03 15:01:16,1403.17985
2025-12-03 15:01:14,1455.8142
2025-12-03 15:01:12,1604.89025
2025-12-03 15:01:10,1377.2172
2025-12-03 15:01:08,1658.62835
2025-12-03 15:01:06,1397.312
2025-12-03 15:01:04,1540.296
2025-12-03 15:01:02,1565.32305
2025-12-03 15:01:00,1425.114
2025-12-03 15:00:58,1595.23605
2025-12-03 15:00:56,1442.15595
2025-12-03 15:00:54,1446.1379
2025-12-03 15:00:52,1620.5713
2025-12-03 15:00:50,1397.43155
2025-12-03 15:00:48,1667.82145
2025-12-03 15:00:46,1415.6914
2025-12-03 15:00:44,1508.65615
2025-12-03 15:00:42,1547.6577
2025-12-03 15:00:40,1441.54625
2025-12-03 15:00:38,1552.9062
2025-12-03 15:00:36,1477.30865
2025-12-03 15:00:34,1427.25665
2025-12-03 15:00:32,1679.4158
2025-12-03 15:00:30,1383.21855
2025-12-03 15:00:28,1479.5633
2025-12-03 15:00:26,1508.72765
2025-12-03 15:00:24,1438.84025
2025-12-03 15:00:22,1619.98735
2025-12-03 15:00:20,1439.31805
2025-12-03 15:00:18,1424.98395
2025-12-03 15:00:16,1645.5853
2025-12-03 15:00:14,1400.8471
2025-12-03 15:00:12,1665.339
2025-12-03 15:00:10,1391.3524
2025-12-03 15:00:08,1479.82615
2025-12-03 15:00:06,1574.55565
2025-12-03 15:00:04,1506.64855
2025-12-03 15:00:02,1711.1095
2025-12-03 15:00:00,1446.18345
2025-12-03 14:59:58,1415.54865
2025-12-03 14:59:56,1626.13175
2025-12-03 14:59:54,1385.3909
2025-12-03 14:59:52,1499.03735
2025-12-03 14:59:50,1586.48315
2025-12-03 14:59:48,1461.5177
2025-12-03 14:59:46,1616.41905
2025-12-03 14:59:44,1475.0087
2025-12-03 14:59:42,1441.74415
2025-12-03 14:59:40,1634.09785
2025-12-03 14:59:38,1369.7081
2025-12-03 14:59:36,1662.0484
2025-12-03 14:59:34,1421.2234
2025-12-03 14:59:32,1518.90265
2025-12-03 14:59:30,1555.40615
2025-12-03 14:59:28,1434.50285
2025-12-03 14:59:26,1604.55645
2025-12-03 14:59:24,1465.65585
2025-12-03 14:59:22,1421.73295
2025-12-03 14:59:20,1611.12365
2025-12-03 14:59:18,1382.2626
2025-12-03 14:59:16,1662.8837
2025-12-03 14:59:14,1382.51645
2025-12-03 14:59:12,1469.2944
2025-12-03 14:59:10,1602.02735
2025-12-03 14:59:08,1450.38465
2025-12-03 14:59:06,1426.14075
2025-12-03 14:59:04,1643.2239
2025-12-03 14:59:02,1399.8562
2025-12-03 14:59:00,1690.7793
2025-12-03 14:58:58,1393.9942
2025-12-03 14:58:56,1554.44265
2025-12-03 14:58:54,1581.67185
2025-12-03 14:58:52,1439.71915
2025-12-03 14:58:50,1600.78595
2025-12-03 14:58:48,1410.94865
2025-12-03 14:58:46,1471.2161
2025-12-03 14:58:44,1626.35415
2025-12-03 14:58:42,1338.84505
2025-12-03 14:58:40,1634.3559
2025-12-03 14:58:38,1365.95715
2025-12-03 14:58:36,1469.23025
2025-12-03 14:58:34,1571.65005
2025-12-03 14:58:32,1418.7076
2025-12-03 14:58:30,1551.0267
2025-12-03 14:58:28,1461.63745
2025-12-03 14:58:26,1350.87625
2025-12-03 14:58:24,1659.35675
2025-12-03 14:58:22,1356.93045
2025-12-03 14:58:20,1472.6475
2025-12-03 14:58:18,1535.48455
2025-12-03 14:58:16,1436.37745
2025-12-03 14:58:14,1634.0254
2025-12-03 14:58:12,1413.77875
2025-12-03 14:58:10,1428.1078
2025-12-03 14:58:08,1659.17545
2025-12-03 14:58:06,1614.3573
2025-12-03 14:58:04,1777.62695
2025-12-03 14:58:02,1430.4122
2025-12-03 14:58:00,1464.2055
2025-12-03 14:57:58,1531.46175
2025-12-03 14:57:56,1423.64975
2025-12-03 14:57:54,1591.2559
2025-12-03 14:57:52,1423.7722
2025-12-03 14:57:50,1402.07275
2025-12-03 14:57:48,1589.31325
2025-12-03 14:57:46,1355.74005
2025-12-03 14:57:44,1528.2345
2025-12-03 14:57:42,1489.25155
2025-12-03 14:57:40,1426.8091
2025-12-03 14:57:38,1588.39425
2025-12-03 14:57:36,1369.4416
2025-12-03 14:57:34,1423.76985
2025-12-03 14:57:32,1607.3027
2025-12-03 14:57:30,1369.8354
2025-12-03 14:57:28,1663.16225
2025-12-03 14:57:26,1385.0507
2025-12-03 14:57:24,1475.765
2025-12-03 14:57:22,1548.061
2025-12-03 14:57:20,1440.8263
2025-12-03 14:57:18,1598.69515
2025-12-03 14:57:16,1455.414
2025-12-03 14:57:14,1449.4689
2025-12-03 14:57:12,1619.1668
2025-12-03 14:57:10,1344.15025
2025-12-03 14:57:08,1651.5199
2025-12-03 14:57:06,1312.3654
2025-12-03 14:57:04,1459.5613
2025-12-03 14:57:02,1564.72515
2025-12-03 14:57:00,1459.4151
2025-12-03 14:56:58,1401.2288
2025-12-03 14:56:56,1560.71165
2025-12-03 14:56:54,1366.78605
2025-12-03 14:56:52,1650.4848
2025-12-03 14:56:50,1324.15145
2025-12-03 14:56:48,1466.5566
2025-12-03 14:56:46,1596.9181
2025-12-03 14:56:44,1435.4119
2025-12-03 14:56:42,1616.6906
2025-12-03 14:56:40,1436.8204
2025-12-03 14:56:38,1411.829
2025-12-03 14:56:36,1606.65995
2025-12-03 14:56:34,1384.1143
2025-12-03 14:56:32,1663.9032
2025-12-03 14:56:30,1391.82755
2025-12-03 14:56:28,1495.5953
2025-12-03 14:56:26,1571.3504
2025-12-03 14:56:24,1450.20785
2025-12-03 14:56:22,1541.78715
2025-12-03 14:56:20,1462.01345
2025-12-03 14:56:18,1358.41085
2025-12-03 14:56:16,1661.26115
2025-12-03 14:56:14,1407.3485
2025-12-03 14:56:12,1506.33585
2025-12-03 14:56:10,1548.9268
2025-12-03 14:56:08,1441.4058
2025-12-03 14:56:06,1607.4379
2025-12-03 14:56:04,1510.19995
2025-12-03 14:56:02,1503.2037
2025-12-03 14:56:00,1627.3819
2025-12-03 14:55:58,1376.65855
2025-12-03 14:55:56,1645.2603
2025-12-03 14:55:54,1363.85355
2025-12-03 14:55:52,1466.2411
2025-12-03 14:55:50,1551.03885
2025-12-03 14:55:48,1443.2453
2025-12-03 14:55:46,1592.56685
2025-12-03 14:55:44,1436.3907
2025-12-03 14:55:42,1405.48945
2025-12-03 14:55:40,1634.3728
2025-12-03 14:55:38,1374.1657
2025-12-03 14:55:36,1598.94225
2025-12-03 14:55:34,1475.91165
2025-12-03 14:55:32,1441.898
2025-12-03 14:55:30,1580.7693
2025-12-03 14:55:28,1440.36205
2025-12-03 14:55:26,1418.5943
2025-12-03 14:55:24,1673.00635
2025-12-03 14:55:22,1384.20375
2025-12-03 14:55:20,1674.2401
2025-12-03 14:55:18,1375.54955
2025-12-03 14:55:16,1475.53515
2025-12-03 14:55:14,1584.7873
2025-12-03 14:55:12,1434.41605
2025-12-03 14:55:10,1598.93755
2025-12-03 14:55:08,1430.6199
2025-12-03 14:55:06,1431.10465
2025-12-03 14:55:04,1659.9849
2025-12-03 14:55:02,1403.04545
2025-12-03 14:55:00,1682.37565
2025-12-03 14:54:58,1360.4031
2025-12-03 14:54:56,1468.40235
2025-12-03 14:54:54,1601.6211
2025-12-03 14:54:52,1452.73785
2025-12-03 14:54:50,1431.68275
2025-12-03 14:54:48,1574.23985
2025-12-03 14:54:46,1445.59825
2025-12-03 14:54:44,1676.21605
2025-12-03 14:54:42,1373.28455
2025-12-03 14:54:40,1482.60325
2025-12-03 14:54:38,1530.9225
2025-12-03 14:54:36,1427.44175
2025-12-03 14:54:34,1665.41625
2025-12-03 14:54:32,1470.1107
2025-12-03 14:54:30,1439.8305
2025-12-03 14:54:28,1628.84595
2025-12-03 14:54:26,1372.02445
2025-12-03 14:54:24,1717.88515
2025-12-03 14:54:22,1379.97725
2025-12-03 14:54:20,1492.25855
2025-12-03 14:54:18,1549.90165
2025-12-03 14:54:16,1440.226
2025-12-03 14:54:14,1608.0528
2025-12-03 14:54:12,1459.28765
2025-12-03 14:54:10,1398.4534
2025-12-03 14:54:08,1662.45045
2025-12-03 14:54:06,1380.72545
2025-12-03 14:54:04,1566.46245
2025-12-03 14:54:02,1651.994
2025-12-03 14:54:00,1457.79525
2025-12-03 14:53:58,1600.17005
2025-12-03 14:53:56,1412.67455
2025-12-03 14:53:54,1434.5838
2025-12-03 14:53:52,1638.5208
2025-12-03 14:53:50,1383.887
2025-12-03 14:53:48,1674.03285
2025-12-03 14:53:46,1335.09875
2025-12-03 14:53:44,1498.67435
2025-12-03 14:53:42,1571.03555
2025-12-03 14:53:40,1453.60285
2025-12-03 14:53:38,1616.2473
2025-12-03 14:53:36,1448.20115
2025-12-03 14:53:34,1463.63365
2025-12-03 14:53:32,1617.7293
2025-12-03 14:53:30,1355.2368
2025-12-03 14:53:28,1631.12245
2025-12-03 14:53:26,1430.5733
2025-12-03 14:53:24,1449.74535
2025-12-03 14:53:22,1602.22475
2025-12-03 14:53:20,1448.2462
2025-12-03 14:53:18,1422.37935
2025-12-03 14:53:16,1580.85285
2025-12-03 14:53:14,1385.7061
2025-12-03 14:53:12,1670.25725
2025-12-03 14:53:10,1394.50105
2025-12-03 14:53:08,1503.79935
2025-12-03 14:53:06,1532.8126
2025-12-03 14:53:04,1451.0291
2025-12-03 14:53:02,1625.76115
2025-12-03 14:53:00,1446.23975
2025-12-03 14:52:58,1428.22185
2025-12-03 14:52:56,1608.0578
2025-12-03 14:52:54,1398.0123
2025-12-03 14:52:52,1647.3414
2025-12-03 14:52:50,1363.1805
2025-12-03 14:52:48,1463.3536
2025-12-03 14:52:46,1667.3107
2025-12-03 14:52:44,1459.64515
2025-12-03 14:52:42,1405.8436
2025-12-03 14:52:40,1602.12125
2025-12-03 14:52:38,1349.99365
2025-12-03 14:52:36,1658.18065
2025-12-03 14:52:34,1404.6441
2025-12-03 14:52:32,1479.19435
2025-12-03 14:52:30,1545.33355
2025-12-03 14:52:28,1436.5882
2025-12-03 14:52:26,1630.0625
2025-12-03 14:52:24,1492.3688
2025-12-03 14:52:22,1426.64285
2025-12-03 14:52:20,1599.86935
2025-12-03 14:52:18,1371.3856
2025-12-03 14:52:16,1660.1895
2025-12-03 14:52:14,1331.95235
2025-12-03 14:52:12,1475.63765
2025-12-03 14:52:10,1563.2946
2025-12-03 14:52:08,1455.65435
2025-12-03 14:52:06,1600.37495
2025-12-03 14:52:04,1495.20085
2025-12-03 14:52:02,1472.1957
2025-12-03 14:52:00,1658.2936
2025-12-03 14:51:58,1363.5531
2025-12-03 14:51:56,1471.72805
2025-12-03 14:51:54,1591.6812
2025-12-03 14:51:52,1422.1207
2025-12-03 14:51:50,1564.03015
2025-12-03 14:51:48,1418.9576
2025-12-03 14:51:46,1427.8693
2025-12-03 14:51:44,1652.81555
2025-12-03 14:51:42,1362.4099
2025-12-03 14:51:40,1669.98685
2025-12-03 14:51:38,1370.56675
2025-12-03 14:51:36,1465.40095
2025-12-03 14:51:34,1570.70195
2025-12-03 14:51:32,1444.0076
2025-12-03 14:51:30,1597.92115
2025-12-03 14:51:28,1424.95875
2025-12-03 14:51:26,1432.034
2025-12-03 14:51:24,1638.7504
2025-12-03 14:51:22,1365.58425
2025-12-03 14:51:20,1655.07305
2025-12-03 14:51:18,1421.63765
2025-12-03 14:51:16,1432.0807
2025-12-03 14:51:14,1636.7891
2025-12-03 14:51:12,1412.57315
2025-12-03 14:51:10,1398.15935
2025-12-03 14:51:08,1605.22005
2025-12-03 14:51:06,1357.8434
2025-12-03 14:51:04,1709.4406
2025-12-03 14:51:02,1360.4057
2025-12-03 14:51:00,1478.70875
2025-12-03 14:50:58,1564.828
2025-12-03 14:50:56,1427.39595
2025-12-03 14:50:54,1614.60315
2025-12-03 14:50:52,1415.639
2025-12-03 14:50:50,1404.59615
2025-12-03 14:50:48,1583.233
2025-12-03 14:50:46,1414.5393
2025-12-03 14:50:44,1684.16335
2025-12-03 14:50:42,1355.9889
2025-12-03 14:50:40,1451.70025
2025-12-03 14:50:38,1532.49925
2025-12-03 14:50:36,1421.19975
2025-12-03 14:50:34,1459.8848
2025-12-03 14:50:32,1614.1864
2025-12-03 14:50:30,1347.95645
2025-12-03 14:50:28,1663.6324
2025-12-03 14:50:26,1344.9344
2025-12-03 14:50:24,1481.01135
2025-12-03 14:50:22,1553.2757
2025-12-03 14:50:20,1434.619
2025-12-03 14:50:18,1597.39485
2025-12-03 14:50:16,1439.28105
2025-12-03 14:50:14,1471.6779
2025-12-03 14:50:12,1632.8679
2025-12-03 14:50:10,1368.9046
2025-12-03 14:50:08,1660.82165
2025-12-03 14:50:06,1322.06255
2025-12-03 14:50:04,1527.90015
2025-12-03 14:50:02,1617.6997
2025-12-03 14:50:00,1441.55385
2025-12-03 14:49:58,1599.9345
2025-12-03 14:49:56,1408.1013
2025-12-03 14:49:54,1384.23375
2025-12-03 14:49:52,1606.91305
2025-12-03 14:49:50,1375.71035
2025-12-03 14:49:48,1464.3351
2025-12-03 14:49:46,1513.6396
2025-12-03 14:49:44,1437.7239
2025-12-03 14:49:42,1583.2109
2025-12-03 14:49:40,1435.93405
2025-12-03 14:49:38,1413.6431
2025-12-03 14:49:36,1598.6118
2025-12-03 14:49:34,1369.0768
2025-12-03 14:49:32,1669.46785
2025-12-03 14:49:30,1376.3583
2025-12-03 14:49:28,1498.60065
2025-12-03 14:49:26,1544.1653
2025-12-03 14:49:24,1439.552
2025-12-03 14:49:22,1620.89085
2025-12-03 14:49:20,1445.87065
2025-12-03 14:49:18,1460.5528
2025-12-03 14:49:16,1606.96325
2025-12-03 14:49:14,1396.0266
2025-12-03 14:49:12,1637.80785
2025-12-03 14:49:10,1423.74745
2025-12-03 14:49:08,1441.60055
2025-12-03 14:49:06,1613.02555
2025-12-03 14:49:04,1480.8282
2025-12-03 14:49:02,1460.8763
2025-12-03 14:49:00,1644.93815
2025-12-03 14:48:58,1400.27605
2025-12-03 14:48:56,1686.86435
2025-12-03 14:48:54,1427.89195
2025-12-03 14:48:52,1495.71875
2025-12-03 14:48:50,1602.2244
2025-12-03 14:48:48,1462.2504
2025-12-03 14:48:46,1705.93955
2025-12-03 14:48:44,1472.8414
2025-12-03 14:48:42,1448.83325
2025-12-03 14:48:40,1643.97225
2025-12-03 14:48:38,1377.0547
2025-12-03 14:48:36,1672.7739
2025-12-03 14:48:34,1384.20085
2025-12-03 14:48:32,1509.2856
2025-12-03 14:48:30,1567.67175
2025-12-03 14:48:28,1448.6688
2025-12-03 14:48:26,1484.8371
2025-12-03 14:48:24,1582.872
2025-12-03 14:48:22,1375.0056
2025-12-03 14:48:20,1665.5436
2025-12-03 14:48:18,1369.17435
2025-12-03 14:48:16,1514.1114
2025-12-03 14:48:14,1597.51365
2025-12-03 14:48:12,1476.7759
2025-12-03 14:48:10,1614.1454
2025-12-03 14:48:08,1444.57165
2025-12-03 14:48:06,1436.13485
2025-12-03 14:48:04,1702.131
2025-12-03 14:48:02,1479.67925
2025-12-03 14:48:00,1674.76945
2025-12-03 14:47:58,1375.21585
2025-12-03 14:47:56,1484.15715
2025-12-03 14:47:54,1571.93765
2025-12-03 14:47:52,1449.1263
2025-12-03 14:47:50,1622.1451
2025-12-03 14:47:48,1437.5766
2025-12-03 14:47:46,1419.7352
2025-12-03 14:47:44,1637.14285
2025-12-03 14:47:42,1373.6244
2025-12-03 14:47:40,1490.529
2025-12-03 14:47:38,1541.63795
2025-12-03 14:47:36,1434.4778
2025-12-03 14:47:34,1614.713
2025-12-03 14:47:32,1451.72215
2025-12-03 14:47:30,1423.5965
2025-12-03 14:47:28,1611.63455
2025-12-03 14:47:26,1378.26565
2025-12-03 14:47:24,1689.2089
2025-12-03 14:47:22,1371.592
2025-12-03 14:47:20,1479.5527
2025-12-03 14:47:18,1574.60515
2025-12-03 14:47:16,1445.8331
2025-12-03 14:47:14,1635.9902
2025-12-03 14:47:12,1450.9299
2025-12-03 14:47:10,1411.28395
2025-12-03 14:47:08,1624.9154
2025-12-03 14:47:06,1398.38905
2025-12-03 14:47:04,1682.84505
2025-12-03 14:47:02,1409.66365
2025-12-03 14:47:00,1444.4559
2025-12-03 14:46:58,1621.84045
2025-12-03 14:46:56,1435.7619
2025-12-03 14:46:54,1451.7161
2025-12-03 14:46:52,1637.5
2025-12-03 14:46:50,1365.31485
2025-12-03 14:46:48,1674.4481
2025-12-03 14:46:46,1345.4429
2025-12-03 14:46:44,1559.3119
2025-12-03 14:46:42,1541.4167
2025-12-03 14:46:40,1450.4729
2025-12-03 14:46:38,1610.9439
2025-12-03 14:46:36,1430.8352
2025-12-03 14:46:34,1453.3319
2025-12-03 14:46:32,1613.2891
2025-12-03 14:46:30,1376.6103
2025-12-03 14:46:28,1664.29425
2025-12-03 14:46:26,1342.7694
2025-12-03 14:46:24,1474.1358
2025-12-03 14:46:22,1549.30155
2025-12-03 14:46:20,1430.7395
2025-12-03 14:46:18,1539.7794
2025-12-03 14:46:16,1469.2244
2025-12-03 14:46:14,1375.8751
2025-12-03 14:46:12,1661.4359
2025-12-03 14:46:10,1377.9543
2025-12-03 14:46:08,1483.9278
2025-12-03 14:46:06,1567.529
2025-12-03 14:46:04,1489.6607
2025-12-03 14:46:02,1682.3958
2025-12-03 14:46:00,1454.1123
2025-12-03 14:45:58,1438.112
2025-12-03 14:45:56,1612.0724
2025-12-03 14:45:54,1359.6928
2025-12-03 14:45:52,1658.2442
2025-12-03 14:45:50,1365.7008
2025-12-03 14:45:48,1507.8714
2025-12-03 14:45:46,1571.5451
2025-12-03 14:45:44,1452.8541
2025-12-03 14:45:42,1603.34695
2025-12-03 14:45:40,1439.9138
2025-12-03 14:45:38,1400.60505
2025-12-03 14:45:36,1630.11605
2025-12-03 14:45:34,1415.14585
2025-12-03 14:45:32,1507.33605
2025-12-03 14:45:30,1556.9792
2025-12-03 14:45:28,1448.0039
2025-12-03 14:45:26,1600.9359
2025-12-03 14:45:24,1467.91775
2025-12-03 14:45:22,1423.4819
2025-12-03 14:45:20,1647.1079
2025-12-03 14:45:18,1384.39435
2025-12-03 14:45:16,1707.11965
2025-12-03 14:45:14,1428.3535
2025-12-03 14:45:12,1494.5797
2025-12-03 14:45:10,1587.57715
2025-12-03 14:45:08,1458.07985
2025-12-03 14:45:06,1628.72115
2025-12-03 14:45:04,1470.9315
2025-12-03 14:45:02,1435.795
2025-12-03 14:45:00,1638.15725
2025-12-03 14:44:58,1410.35915
2025-12-03 14:44:56,1700.1033
2025-12-03 14:44:54,1412.00515
2025-12-03 14:44:52,1477.87185
2025-12-03 14:44:50,1621.61895
2025-12-03 14:44:48,1454.36655
2025-12-03 14:44:46,1461.48065
2025-12-03 14:44:44,1736.29805
2025-12-03 14:44:42,1377.41685
2025-12-03 14:44:40,1691.4635
2025-12-03 14:44:38,1408.91845
2025-12-03 14:44:36,1518.53195
2025-12-03 14:44:34,1620.09385
2025-12-03 14:44:32,1474.51565
2025-12-03 14:44:30,1631.04655
2025-12-03 14:44:28,1451.62265
2025-12-03 14:44:26,1436.66245
2025-12-03 14:44:24,1689.6725
2025-12-03 14:44:22,1415.2306
2025-12-03 14:44:20,1696.25255
2025-12-03 14:44:18,1504.58465
2025-12-03 14:44:16,1520.2699
2025-12-03 14:44:14,1603.96305
2025-12-03 14:44:12,1485.3179
2025-12-03 14:44:10,1574.72615
2025-12-03 14:44:08,1503.18095
2025-12-03 14:44:06,1390.1816
2025-12-03 14:44:04,1751.2552
2025-12-03 14:44:02,1460.14625
2025-12-03 14:44:00,1515.0097
2025-12-03 14:43:58,1572.1274
2025-12-03 14:43:56,1465.59695
2025-12-03 14:43:54,1646.9287
2025-12-03 14:43:52,1441.266
2025-12-03 14:43:50,1410.9478
2025-12-03 14:43:48,1639.76085
2025-12-03 14:43:46,1391.70405
2025-12-03 14:43:44,1727.1467
2025-12-03 14:43:42,1383.75695
2025-12-03 14:43:40,1487.54265
2025-12-03 14:43:38,1550.82005
2025-12-03 14:43:36,1442.99895
2025-12-03 14:43:34,1657.17305
2025-12-03 14:43:32,1455.2837
2025-12-03 14:43:30,1407.42805
2025-12-03 14:43:28,1635.52185
2025-12-03 14:43:26,1395.6192
2025-12-03 14:43:24,1530.4361
2025-12-03 14:43:22,1553.3783
2025-12-03 14:43:20,1444.35085
2025-12-03 14:43:18,1627.85385
2025-12-03 14:43:16,1411.9711
2025-12-03 14:43:14,1459.864
2025-12-03 14:43:12,1651.97835
2025-12-03 14:43:10,1399.09655
2025-12-03 14:43:08,1668.9291
