Round,Seed,Model,Stage,Start_Time,End_Time,Duration_Sec
4,3368,XGBoost,Inference,2025-12-02 13:24:16.174880,2025-12-02 13:24:17.880612,1.7057230472564697
4,3368,LightGBM,Training,2025-12-02 13:24:22.033172,2025-12-02 13:26:42.807367,140.77418088912964
4,3368,LightGBM,Inference,2025-12-02 13:26:42.807382,2025-12-02 13:26:47.142989,4.335598707199097
4,3368,CatBoost,Training,2025-12-02 13:26:51.315886,2025-12-02 13:40:10.762313,799.446412563324
4,3368,CatBoost,Inference,2025-12-02 13:40:10.762328,2025-12-02 13:40:14.943496,4.181161165237427
4,3368,Ensemble_Stacking,Training,2025-12-02 13:40:19.331926,2025-12-02 15:29:09.299590,6529.967643260956
4,3368,Ensemble_Stacking,Inference,2025-12-02 15:29:09.299614,2025-12-02 15:29:21.315348,12.015726089477539
5,7080,Dummy,Training,2025-12-02 15:30:06.123725,2025-12-02 15:30:06.609780,0.48603153228759766
5,7080,Dummy,Inference,2025-12-02 15:30:06.609794,2025-12-02 15:30:06.618593,0.008793354034423828
5,7080,KNN,Training,2025-12-02 15:30:10.120896,2025-12-02 15:30:11.297859,1.1769495010375977
5,7080,KNN,Inference,2025-12-02 15:30:11.297873,2025-12-02 17:14:35.332839,6264.034958124161
5,7080,DecisionTree,Training,2025-12-02 17:14:38.985296,2025-12-02 17:15:36.085324,57.10001230239868
5,7080,DecisionTree,Inference,2025-12-02 17:15:36.085338,2025-12-02 17:15:36.357796,0.2724494934082031
5,7080,RandomForest,Training,2025-12-02 17:15:40.360402,2025-12-02 17:18:46.831466,186.47105073928833
5,7080,RandomForest,Inference,2025-12-02 17:18:46.831479,2025-12-02 17:18:49.095262,2.2637734413146973
5,7080,XGBoost,Training,2025-12-02 17:18:53.637684,2025-12-02 17:23:25.190396,271.55269718170166
5,7080,XGBoost,Inference,2025-12-02 17:23:25.190436,2025-12-02 17:23:26.950571,1.7601265907287598
5,7080,LightGBM,Training,2025-12-02 17:23:31.277165,2025-12-02 17:25:50.072857,138.7956781387329
5,7080,LightGBM,Inference,2025-12-02 17:25:50.072870,2025-12-02 17:25:54.433994,4.361114740371704
5,7080,CatBoost,Training,2025-12-02 17:25:58.715768,2025-12-02 17:39:22.594361,803.8785789012909
5,7080,CatBoost,Inference,2025-12-02 17:39:22.594374,2025-12-02 17:39:26.393894,3.7995107173919678
5,7080,Ensemble_Stacking,Training,2025-12-02 17:39:30.638558,2025-12-02 19:27:32.956643,6482.318064928055
5,7080,Ensemble_Stacking,Inference,2025-12-02 19:27:32.956665,2025-12-02 19:27:45.592489,12.635814428329468
6,5096,Dummy,Training,2025-12-02 19:28:32.707866,2025-12-02 19:28:33.201844,0.4939563274383545
6,5096,Dummy,Inference,2025-12-02 19:28:33.201857,2025-12-02 19:28:33.211709,0.009844303131103516
6,5096,KNN,Training,2025-12-02 19:28:36.768826,2025-12-02 19:28:37.950712,1.1818714141845703
6,5096,KNN,Inference,2025-12-02 19:28:37.950728,2025-12-02 21:12:35.639705,6237.688969373703
6,5096,DecisionTree,Training,2025-12-02 21:12:39.659380,2025-12-02 21:13:40.959367,61.29997110366821
6,5096,DecisionTree,Inference,2025-12-02 21:13:40.959382,2025-12-02 21:13:41.176656,0.21726393699645996
6,5096,RandomForest,Training,2025-12-02 21:13:44.878224,2025-12-02 21:16:39.139337,174.26109838485718
6,5096,RandomForest,Inference,2025-12-02 21:16:39.139351,2025-12-02 21:16:41.356696,2.217336654663086
6,5096,XGBoost,Training,2025-12-02 21:16:45.390911,2025-12-02 21:21:11.782400,266.3914747238159
6,5096,XGBoost,Inference,2025-12-02 21:21:11.782441,2025-12-02 21:21:13.489853,1.7074031829833984
6,5096,LightGBM,Training,2025-12-02 21:21:17.968295,2025-12-02 21:23:38.031616,140.06330633163452
6,5096,LightGBM,Inference,2025-12-02 21:23:38.031629,2025-12-02 21:23:42.392450,4.360811948776245
6,5096,CatBoost,Training,2025-12-02 21:23:46.591796,2025-12-02 21:37:15.817006,809.2251958847046
6,5096,CatBoost,Inference,2025-12-02 21:37:15.817020,2025-12-02 21:37:19.453142,3.636113166809082
6,5096,Ensemble_Stacking,Training,2025-12-02 21:37:23.678475,2025-12-02 23:26:38.428928,6554.750430822372
6,5096,Ensemble_Stacking,Inference,2025-12-02 23:26:38.428952,2025-12-02 23:26:50.824264,12.395302772521973
7,8038,Dummy,Training,2025-12-02 23:27:48.718331,2025-12-02 23:27:49.333757,0.6154048442840576
