Iteracao,Seed,Modelo,F1_Score,Accuracy,Precision,Recall,ROC_AUC,Train_Time_sec,Infer_Model_ms_per_1k,Feat_Eng_ms_per_1k,Total_Latency_ms_per_1k
1,5855,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.5467395782470703,0.005179726016986727,134.6299143631973,134.63509408921428
1,5855,KNN,0.6310534670854865,0.9863219227894993,0.6301722858569097,0.6319371161079091,0.9672924449851288,1.2369494438171387,1532.6515385713894,134.6299143631973,1667.2814529345867
1,5855,DecisionTree,0.6832159542570254,0.9874849487807761,0.6427830194305617,0.7290770354736585,0.9948260846007383,69.76184797286987,0.06733094502435988,134.6299143631973,134.697245308221651,5855,RandomForest,0.6856278986342788,0.9877095901059646,0.6510937538019806,0.7240306301918445,0.9951631979256343,185.74537682533264,0.6020078198030356,134.6299143631973,135.231922183000341,5855,XGBoost,0.7273686004644523,0.9871811695974387,0.5998295764007239,0.9237898097789323,0.9951449252497535,321.79562497138977,0.43092711193007477,134.6299143631973,135.06084147512738
1,5855,LightGBM,0.728873817786844,0.9871849261413382,0.5990367615680059,0.930567957355846,0.9952440793569028,162.65019154548645,0.9933761550410731,134.6299143631973,135.62329051823835
1,5855,CatBoost,0.7257171830384546,0.9871298301641459,0.5992631179980785,0.9198122141948751,0.9951288942290891,803.1243472099304,0.8720633892038087,134.6299143631973,135.5019777524011
1,5855,Ensemble_Stacking,0.6993662165885919,0.9879780577766469,0.6510575779482755,0.7554184592905269,0.995263475414092,6510.728665113449,3.035968120806655,134.6299143631973,137.66588248400393
2,5771,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.5401999950408936,0.004621211237011006,134.6299143631973,134.6345355744343
2,5771,KNN,0.6326422907250534,0.986402813701468,0.6327792967163856,0.6325053440484888,0.9672730248736189,1.2710180282592773,1555.099642910225,134.6299143631973,1689.7295572734222
2,5771,DecisionTree,0.6875177063856309,0.9875695962366442,0.6429404076442121,0.7387369104635116,0.9949130538533127,58.026511430740356,0.05988838031467271,134.6299143631973,134.68980274351196
2,5771,RandomForest,0.6811297000532143,0.9876945639303667,0.6545148416063856,0.7100008117542008,0.9951731520233122,188.78498792648315,0.5735234466069592,134.6299143631973,135.203437809804262,5771,XGBoost,0.7290833881834187,0.9873211634667591,0.6030772227091246,0.9216521903834186,0.9951738439319694,309.17328333854675,0.4318958251854014,134.6299143631973,135.06181018838268
2,5771,LightGBM,0.7305179741786165,0.9873447044751958,0.6029048017252762,0.9266580079551912,0.9952625796944321,165.45824480056763,1.0573240672539466,134.6299143631973,135.68723843045123
2,5771,CatBoost,0.7271473739207247,0.9873136503789601,0.6040646841412884,0.9132234759314879,0.9951586040319526,813.2738580703735,0.9034606492441352,134.6299143631973,135.5333750124414
2,5771,Ensemble_Stacking,0.6980885804289713,0.9879510106605707,0.650987781470905,0.7525367318775875,0.9952771522941768,6609.642255783081,3.1253074977697266,134.6299143631973,137.75522186096703
3,7128,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.4950380325317383,0.00229746971390911,134.6299143631973,134.6322118329112
3,7128,KNN,0.63300153759003,0.9863712587327124,0.6310609116579265,0.6349541358876533,0.9672423152319273,1.1779024600982666,1555.1856715615604,134.6299143631973,1689.8155859247577
3,7128,DecisionTree,0.6757977769809969,0.9875455543556876,0.6521306979026434,0.701247395621939,0.9949328176260852,45.28619074821472,0.07105569048132433,134.6299143631973,134.70097005367862
3,7128,RandomForest,0.674060585995696,0.9876722751032299,0.6600874064660035,0.6886381470357442,0.9951557058850284,176.95192861557007,0.5718368561654397,134.6299143631973,135.20175121936273
3,7128,XGBoost,0.7274380613563486,0.9871638894955012,0.5992640294388224,0.9253592012338664,0.9951594603060475,309.93373370170593,0.43002025684366557,134.6299143631973,135.05993462004096
3,7128,LightGBM,0.7290644574447209,0.9872069645322151,0.5995864920744314,0.9298644370484618,0.995236093935184,150.33683586120605,1.1053747285982938,134.6299143631973,135.73528909179558
